NAME,FOUNDED,ACCREDITED,PUB/PRIV,ACADEMIC YEAR,TUITION,TUITION (2014$),PERCENT PAYING FULL TUITION,PERCENT RECEIVING MEDIAN GRANT OR MORE,TUITION LESS MEDIAN GRANT (2014$)
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2005-2006,"$24,708","$29,951",70.2%,14.9%,"$15,405"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2006-2007,"$26,190","$30,756",64.3%,17.9%,"$9,618"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2007-2008,"$27,892","$31,846",64.2%,17.9%,"$9,011"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2008-2009,"$29,776","$32,740",66.4%,16.8%,"$10,749"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2009-2010,"$31,698","$34,978",70.4%,14.8%,"$12,908"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2010-2011,"$33,155","$35,995",64.6%,17.7%,"$16,453"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2011-2012,"$34,848","$36,676",62.8%,18.6%,"$20,889"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2012-2013,"$36,216","$37,343",49.9%,25.1%,"$21,876"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2013-2014,"$36,216","$36,803",49.9%,25.1%,"$21,560"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2014-2015,"$36,734","$36,734",N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,1996-1997,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,1997-1998,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,1998-1999,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,1999-2000,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2000-2001,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2001-2002,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2002-2003,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2003-2004,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2004-2005,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2005-2006,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2006-2007,N/A,N/A,N/A,N/A,N/A
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2007-2008,"$28,640","$32,700",64.1%,18.0%,"$23,566"
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2008-2009,"$31,562","$34,704",39.8%,30.1%,"$21,034"
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2009-2010,"$34,396","$37,955",37.8%,31.1%,"$30,231"
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2010-2011,"$36,036","$39,123",39.3%,30.4%,"$31,523"
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2011-2012,"$37,764","$39,745",46.2%,26.9%,"$33,430"
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2012-2013,"$39,533","$40,763",47.9%,26.0%,"$30,452"
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2013-2014,"$41,114","$41,781",51.7%,24.2%,"$30,603"
ARIZONA SUMMIT LAW SCHOOL [F/K/A PHOENIX SCHOOL OF LAW],2005,2007,PRIVATE,2014-2015,"$42,756","$42,756",N/A,N/A,N/A
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,1996-1997,"$19,100","$28,828",N/A,N/A,N/A
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,1997-1998,"$19,750","$29,128",N/A,N/A,N/A
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,1998-1999,"$20,500","$29,772",N/A,N/A,N/A
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,1999-2000,"$21,390","$30,399",N/A,N/A,N/A
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2000-2001,"$22,270","$30,616",N/A,N/A,N/A
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2001-2002,"$23,490","$31,406",53.7%,23.1%,"$23,578"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2002-2003,"$24,850","$32,705",56.8%,21.6%,"$16,419"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2003-2004,"$26,300","$33,846",66.1%,17.0%,"$16,987"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2004-2005,"$28,920","$36,247",65.6%,17.2%,"$20,592"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2005-2006,"$30,600","$37,094",69.4%,15.3%,"$18,608"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2006-2007,"$32,380","$38,025",65.5%,17.2%,"$19,071"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2007-2008,"$34,300","$39,163",65.6%,17.2%,"$19,638"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2008-2009,"$36,340","$39,958",59.3%,20.4%,"$20,034"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2009-2010,"$38,500","$42,484",55.1%,22.4%,"$21,297"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2010-2011,"$40,780","$44,273",47.7%,26.1%,"$22,191"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2011-2012,"$42,700","$44,939",81.6%,9.2%,"$28,127"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2012-2013,"$43,700","$45,059",40.1%,30.0%,"$22,581"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2013-2014,"$44,800","$45,527",17.2%,41.4%,"$27,180"
CALIFORNIA WESTERN SCHOOL OF LAW,1924,1962,PRIVATE,2014-2015,"$45,900","$45,900",N/A,N/A,N/A
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,1996-1997,N/A,N/A,N/A,N/A,N/A
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,1997-1998,N/A,N/A,N/A,N/A,N/A
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,1998-1999,"$20,000","$29,046",N/A,N/A,N/A
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,1999-2000,"$21,650","$30,769",N/A,N/A,N/A
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2000-2001,"$22,450","$30,864",N/A,N/A,N/A
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2001-2002,"$23,250","$31,085",51.5%,24.3%,"$7,821"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2002-2003,"$24,300","$31,982",22.3%,38.9%,"$21,973"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2003-2004,"$25,500","$32,816",41.5%,29.3%,"$13,242"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2004-2005,"$27,941","$35,020",57.6%,21.2%,"$18,180"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2005-2006,"$29,854","$36,189",65.2%,17.4%,"$18,794"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2006-2007,"$34,250","$40,221",59.5%,20.3%,"$17,648"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2007-2008,"$34,518","$39,411",60.8%,19.6%,"$12,660"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2008-2009,"$36,233","$39,840",55.8%,22.1%,"$8,217"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2009-2010,"$38,046","$41,983",62.7%,18.6%,"$4,293"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2010-2011,"$40,173","$43,614",61.0%,19.5%,"$4,754"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2011-2012,"$41,873","$44,069",59.1%,20.5%,"$4,798"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2012-2013,"$43,536","$44,890",34.2%,32.9%,"$13,767"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2013-2014,"$44,843","$45,570",13.5%,43.2%,"$18,430"
CHAPMAN UNIVERSITY DALE E. FOWLER SCHOOL OF LAW,1995,1998,PRIVATE,2014-2015,"$46,591","$46,591",N/A,N/A,N/A
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,1996-1997,"$17,466","$26,362",N/A,N/A,N/A
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,1997-1998,"$18,850","$27,801",N/A,N/A,N/A
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,1998-1999,"$19,981","$29,018",N/A,N/A,N/A
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,1999-2000,"$21,120","$30,016",N/A,N/A,N/A
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2000-2001,"$22,048","$30,311",N/A,N/A,N/A
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2001-2002,"$23,150","$30,951",59.1%,20.4%,"$22,929"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2002-2003,"$24,716","$32,529",58.5%,20.7%,"$22,000"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2003-2004,"$25,673","$33,039",56.0%,22.0%,"$22,743"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2004-2005,"$26,000","$32,587",65.2%,17.4%,"$20,054"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2005-2006,"$29,340","$35,566",66.7%,16.7%,"$28,293"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2006-2007,"$31,140","$36,569",61.5%,19.3%,"$27,761"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2007-2008,"$32,940","$37,610",60.8%,19.6%,"$29,047"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2008-2009,"$34,760","$38,220",57.3%,21.4%,"$29,974"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2009-2010,"$36,860","$40,674",62.2%,18.9%,"$28,674"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2010-2011,"$38,375","$41,662",51.1%,24.4%,"$25,377"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2011-2012,"$40,515","$42,640",59.0%,20.5%,"$29,989"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2012-2013,"$42,010","$43,317",49.2%,25.4%,"$30,428"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2013-2014,"$43,660","$44,368",33.9%,33.0%,"$29,125"
GOLDEN GATE UNIVERSITY SCHOOL OF LAW,1901,1956,PRIVATE,2014-2015,"$45,350","$45,350",N/A,N/A,N/A
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,1996-1997,"$19,406","$29,290",N/A,N/A,N/A
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,1997-1998,"$20,474","$30,196",N/A,N/A,N/A
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,1998-1999,"$21,674","$31,477",N/A,N/A,N/A
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,1999-2000,"$22,790","$32,389",N/A,N/A,N/A
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2000-2001,"$23,884","$32,835",N/A,N/A,N/A
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2001-2002,"$25,184","$33,671",83.8%,8.1%,"$8,268"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2002-2003,"$26,806","$35,280",83.9%,8.0%,"$5,667"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2003-2004,"$28,334","$36,463",86.1%,6.9%,$335
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2004-2005,"$29,828","$37,385",80.6%,9.7%,-$534
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2005-2006,"$31,454","$38,129",78.0%,11.0%,-$516
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2006-2007,"$33,793","$39,684",75.2%,12.4%,"$8,095"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2007-2008,"$36,058","$41,170",71.9%,14.1%,"$18,334"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2008-2009,"$38,450","$42,278",66.3%,16.8%,"$19,737"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2009-2010,"$40,530","$44,724",62.1%,19.0%,"$21,551"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2010-2011,"$41,840","$45,424",61.9%,19.1%,"$21,540"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2011-2012,"$43,060","$45,318",64.3%,17.8%,"$21,112"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2012-2013,"$44,230","$45,606",65.8%,17.1%,"$21,890"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2013-2014,"$45,980","$46,726",54.9%,22.6%,"$23,353"
"LOYOLA LAW SCHOOL, LOS ANGELES",1920,1935,PRIVATE,2014-2015,"$47,750","$47,750",N/A,N/A,N/A
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,1996-1997,"$20,850","$31,469",N/A,N/A,N/A
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,1997-1998,"$21,850","$32,225",N/A,N/A,N/A
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,1998-1999,"$22,830","$33,156",N/A,N/A,N/A
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,1999-2000,"$23,860","$33,910",N/A,N/A,N/A
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2000-2001,"$24,870","$34,191",N/A,N/A,N/A
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2001-2002,"$26,120","$34,922",39.8%,30.1%,"$29,574"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2002-2003,"$27,260","$35,877",40.2%,29.9%,"$31,271"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2003-2004,"$28,450","$36,612",30.1%,34.9%,"$33,184"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2004-2005,"$29,690","$37,212",18.5%,40.8%,"$35,332"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2005-2006,"$31,910","$38,682",25.0%,37.5%,"$33,833"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2006-2007,"$33,590","$39,446",24.9%,37.6%,"$32,400"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2007-2008,"$35,520","$40,556",27.2%,36.4%,"$32,563"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2008-2009,"$37,650","$41,398",16.7%,41.6%,"$36,670"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2009-2010,"$39,340","$43,411",44.1%,28.0%,"$33,479"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2010-2011,"$41,210","$44,740",29.5%,35.2%,"$28,455"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2011-2012,"$42,840","$45,087",39.1%,30.4%,"$37,720"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2012-2013,"$44,980","$46,379",49.8%,25.1%,"$24,339"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2013-2014,"$46,680","$47,437",43.7%,28.2%,"$25,080"
PEPPERDINE UNIVERSITY SCHOOL OF LAW,1971,1972,PRIVATE,2014-2015,"$49,030","$49,030",N/A,N/A,N/A
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,1996-1997,"$19,130","$28,873",N/A,N/A,N/A
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,1997-1998,"$19,990","$29,482",N/A,N/A,N/A
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,1998-1999,"$20,782","$30,182",N/A,N/A,N/A
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,1999-2000,"$22,000","$31,266",N/A,N/A,N/A
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2000-2001,"$23,880","$32,830",N/A,N/A,N/A
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2001-2002,"$25,560","$34,173",65.1%,17.4%,"$18,226"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2002-2003,"$27,360","$36,009",73.9%,13.1%,"$22,848"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2003-2004,"$28,740","$36,986",73.1%,13.4%,"$21,543"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2004-2005,"$30,750","$38,540",71.5%,14.3%,"$23,500"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2005-2006,"$31,980","$38,767",67.0%,16.5%,"$25,432"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2006-2007,"$33,600","$39,458",61.0%,19.5%,"$27,714"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2007-2008,"$35,250","$40,247",59.5%,20.3%,"$26,546"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2008-2009,"$36,750","$40,408",66.4%,16.8%,"$26,664"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2009-2010,"$38,040","$41,976",58.1%,21.0%,"$30,941"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2010-2011,"$39,360","$42,732",52.6%,23.7%,"$31,875"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2011-2012,"$41,790","$43,982",49.5%,25.3%,"$33,457"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2012-2013,"$43,680","$45,039",53.0%,23.5%,"$32,665"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2013-2014,"$45,000","$45,730",47.3%,26.4%,"$32,519"
SANTA CLARA UNIVERSITY SCHOOL OF LAW,1912,1937,PRIVATE,2014-2015,"$47,040","$47,040",N/A,N/A,N/A
SOUTHWESTERN LAW SCHOOL,1911,1970,PRIVATE,1996-1997,"$19,120","$28,858",N/A,N/A,N/A
SOUTHWESTERN LAW SCHOOL,1911,1970,PRIVATE,1997-1998,"$20,050","$29,570",N/A,N/A,N/A
SOUTHWESTERN LAW SCHOOL,1911,1970,PRIVATE,1998-1999,"$21,040","$30,556",N/A,N/A,N/A
SOUTHWESTERN LAW SCHOOL,1911,1970,PRIVATE,1999-2000,"$22,090","$31,394",N/A,N/A,N/A
SOUTHWESTERN LAW SCHOOL,1911,1970,PRIVATE,2000-2001,"$23,410","$32,183",N/A,N/A,N/A
SOUTHWESTERN LAW SCHOOL,1911,1970,PRIVATE,2001-2002,"$24,940","$33,344",72.2%,13.9%,"$26,659"
SOUTHWESTERN LAW SCHOOL,1911,1970,PRIVATE,2002-2003,"$26,200","$34,482",73.6%,13.2%,"$27,902"
SOUTHWESTERN LAW SCHOOL,1911,1970,PRIVATE,2003-2004,"$27,370","$35,223",71.0%,14.5%,"$24,927"
