NAME,FOUNDED,ACCREDITED,PUB/PRIV,ACADEMIC YEAR,RESIDENT TUITION,RESIDENT TUITION (2014$),NONRESIDENT TUITION,NONRESIDENT TUITION (2014$),PERCENT PAYING FULL TUITION
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2008-2009,"$12,564","$13,815","$24,158","$26,563",52.8%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2009-2010,"$14,675","$16,193","$26,785","$29,557",52.8%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2010-2011,"$15,760","$17,110","$28,070","$30,475",53.8%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2011-2012,"$18,030","$18,976","$30,950","$32,573",52.8%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2012-2013,"$19,660","$20,272","$32,920","$33,944",47.0%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2013-2014,"$20,770","$21,107","$34,840","$35,405",31.6%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2014-2015,"$21,624","$21,624","$36,304","$36,304",N/A
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,1996-1997,"$4,010","$6,052","$10,378","$15,664",N/A
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,1997-1998,"$4,059","$5,986","$10,711","$15,797",N/A
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,1998-1999,"$4,536","$6,588","$11,488","$16,684",N/A
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,1999-2000,"$5,011","$7,122","$12,163","$17,286",N/A
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2000-2001,"$5,096","$7,006","$12,552","$17,256",N/A
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2001-2002,"$5,238","$7,003","$13,104","$17,520",56.2%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2002-2003,"$5,835","$7,680","$14,355","$18,893",50.9%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2003-2004,"$9,545","$12,283","$18,065","$23,248",52.6%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2004-2005,"$12,380","$15,516","$20,900","$26,195",56.2%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2005-2006,"$12,907","$15,646","$22,089","$26,777",51.2%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2006-2007,"$13,278","$15,593","$23,864","$28,024",54.7%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2007-2008,"$14,628","$16,702","$26,320","$30,051",54.1%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2008-2009,"$16,294","$17,916","$28,858","$31,731",49.4%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2009-2010,"$19,225","$21,214","$32,619","$35,994",51.4%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2010-2011,"$21,598","$23,448","$35,147","$38,158",47.6%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2011-2012,"$24,471","$25,754","$38,595","$40,619",50.7%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2012-2013,"$26,267","$27,084","$40,815","$42,085",46.6%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2013-2014,"$26,268","$26,694","$40,818","$41,480",43.9%
"ARIZONA STATE UNIVERSITY, SANDRA DAY O&#8217;CONNOR COLLEGE OF LAW",1964,1969,PUBLIC,2014-2015,"$26,753","$26,753","$41,751","$41,751",N/A
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,1996-1997,"$4,010","$6,052","$10,378","$15,664",N/A
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,1997-1998,"$4,060","$5,988","$10,712","$15,798",N/A
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,1998-1999,"$4,538","$6,591","$11,490","$16,687",N/A
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,1999-2000,"$5,014","$7,126","$12,166","$17,290",N/A
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2000-2001,"$5,098","$7,009","$12,554","$17,259",N/A
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2001-2002,"$5,240","$7,006","$13,106","$17,523",22.4%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2002-2003,"$5,843","$7,690","$14,363","$18,903",17.3%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2003-2004,"$10,604","$13,646","$19,374","$24,932",18.9%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2004-2005,"$12,597","$15,788","$21,577","$27,043",13.8%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2005-2006,"$13,202","$16,004","$22,182","$26,889",15.1%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2006-2007,"$16,201","$19,025","$25,991","$30,522",22.5%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2007-2008,"$17,768","$20,287","$28,574","$32,625",30.5%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2008-2009,"$19,584","$21,534","$32,221","$35,429",30.7%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2009-2010,"$20,895","$23,057","$35,807","$39,512",28.0%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2010-2011,"$23,540","$25,557","$39,402","$42,777",24.3%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2011-2012,"$26,089","$27,457","$41,051","$43,204",28.0%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2012-2013,"$27,272","$28,120","$42,283","$43,598",34.2%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2013-2014,"$24,396","$24,792","$38,856","$39,486",31.9%
"THE UNIVERSITY OF ARIZONA, JAMES E. ROGERS COLLEGE OF LAW",1915,1930,PUBLIC,2014-2015,"$24,607","$24,607","$29,000","$29,000",N/A
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,1996-1997,"$3,824","$5,772","$8,530","$12,874",N/A
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,1997-1998,"$4,004","$5,905","$9,072","$13,380",N/A
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,1998-1999,"$4,500","$6,535","$10,200","$14,813",N/A
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,1999-2000,"$4,735","$6,729","$10,335","$14,688",N/A
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2000-2001,"$5,565","$7,651","$11,515","$15,831",N/A
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2001-2002,"$6,425","$8,590","$13,257","$17,724",59.4%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2002-2003,"$7,641","$10,056","$14,241","$18,743",67.4%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2003-2004,"$7,470","$9,613","$14,946","$19,234",68.6%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2004-2005,"$8,317","$10,424","$16,549","$20,742",72.1%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2005-2006,"$9,369","$11,357","$18,819","$22,813",65.7%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2006-2007,"$9,817","$11,528","$19,747","$23,190",65.4%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2007-2008,"$10,201","$11,647","$20,524","$23,434",58.6%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2008-2009,"$10,807","$11,883","$22,133","$24,336",59.2%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2009-2010,"$11,456","$12,641","$23,538","$25,974",48.7%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2010-2011,"$11,456","$12,437","$23,451","$25,460",31.1%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2011-2012,"$12,176","$12,815","$24,772","$26,071",36.0%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2012-2013,"$12,701","$13,096","$25,838","$26,642",36.5%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2013-2014,"$13,353","$13,570","$27,147","$27,587",36.4%
"UNIVERSITY OF ARKANSAS AT LITTLE ROCK, WILLIAM H. BOWEN SCHOOL OF LAW",1975,1969,PUBLIC,2014-2015,"$13,996","$13,996","$28,342","$28,342",N/A
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,1996-1997,"$3,496","$5,277","$7,528","$11,362",N/A
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,1997-1998,"$3,604","$5,315","$7,780","$11,474",N/A
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,1998-1999,"$4,168","$6,053","$9,136","$13,268",N/A
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,1999-2000,"$5,306","$7,541","$10,754","$15,284",N/A
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2000-2001,"$5,752","$7,908","$11,536","$15,859",N/A
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2001-2002,"$6,634","$8,870","$13,212","$17,664",67.8%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2002-2003,"$7,108","$9,355","$14,192","$18,678",68.0%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2003-2004,"$8,021","$10,322","$16,031","$20,630",69.2%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2004-2005,"$8,694","$10,897","$17,274","$21,650",64.3%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2005-2006,"$9,228","$11,186","$18,514","$22,443",60.9%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2006-2007,"$9,713","$11,406","$19,486","$22,883",62.6%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2007-2008,"$10,144","$11,582","$20,303","$23,181",62.9%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2008-2009,"$10,712","$11,778","$21,379","$23,507",60.0%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2009-2010,"$10,772","$11,887","$21,439","$23,657",65.1%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2010-2011,"$11,367","$12,341","$22,501","$24,429",56.7%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2011-2012,"$11,933","$12,559","$24,528","$25,814",60.1%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2012-2013,"$12,515","$12,904","$25,652","$26,450",52.9%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2013-2014,"$13,669","$13,891","$28,120","$28,576",57.6%
UNIVERSITY OF ARKANSAS SCHOOL OF LAW,1924,1926,PUBLIC,2014-2015,"$14,508","$14,508","$30,028","$30,028",N/A
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,1996-1997,"$10,800","$16,301","$19,194","$28,970",N/A
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,1997-1998,"$10,800","$15,928","$19,784","$29,178",N/A
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,1998-1999,"$10,814","$15,705","$20,198","$29,333",N/A
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,1999-2000,"$10,865","$15,441","$20,669","$29,375",N/A
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2000-2001,"$10,910","$14,999","$21,614","$29,714",N/A
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2001-2002,"$10,945","$14,633","$21,649","$28,944",42.7%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2002-2003,"$11,027","$14,513","$22,731","$29,917",38.2%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2003-2004,"$16,294","$20,969","$28,540","$36,728",27.4%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2004-2005,"$21,531","$26,986","$33,776","$42,333",26.9%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2005-2006,"$24,340","$29,505","$36,585","$44,349",28.9%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2006-2007,"$25,476","$29,917","$37,721","$44,297",32.2%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2007-2008,"$26,896","$30,709","$39,141","$44,690",34.5%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2008-2009,"$30,943","$34,023","$43,188","$47,487",52.4%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2009-2010,"$35,907","$39,622","$48,152","$53,134",36.0%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2010-2011,"$44,244","$48,034","$52,244","$56,720",35.0%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2011-2012,"$50,163","$52,794","$54,370","$57,221",41.1%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2012-2013,"$48,068","$49,563","$52,019","$53,637",42.3%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2013-2014,"$48,058","$48,838","$52,009","$52,853",37.7%
"UNIVERSITY OF CALIFORNIA, BERKELEY SCHOOL OF LAW, BOALT HALL",1894,1923,PUBLIC,2014-2015,"$48,166","$48,166","$52,117","$52,117",N/A
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,1996-1997,"$10,881","$16,423","$19,725","$29,771",N/A
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,1997-1998,"$10,843","$15,992","$19,827","$29,242",N/A
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,1998-1999,"$10,859","$15,770","$20,243","$29,399",N/A
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,1999-2000,"$10,895","$15,484","$20,699","$29,417",N/A
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2000-2001,"$11,179","$15,369","$21,423","$29,452",N/A
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2001-2002,"$11,425","$15,275","$22,129","$29,586",21.7%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2002-2003,"$11,502","$15,138","$22,634","$29,789",16.5%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2003-2004,"$17,195","$22,128","$29,440","$37,886",19.3%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2004-2005,"$21,224","$26,601","$33,469","$41,948",24.0%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2005-2006,"$23,524","$28,516","$35,769","$43,360",23.5%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2006-2007,"$24,358","$28,604","$36,603","$42,984",31.6%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2007-2008,"$25,489","$29,102","$37,734","$43,083",36.9%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2008-2009,"$28,511","$31,349","$40,756","$44,813",37.2%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2009-2010,"$33,949","$37,462","$44,895","$49,540",18.3%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2010-2011,"$41,763","$45,341","$50,595","$54,929",26.7%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2011-2012,"$46,485","$48,923","$54,622","$57,487",2.8%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2012-2013,"$49,564","$51,106","$58,815","$60,645",29.9%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2013-2014,"$47,286","$48,053","$56,537","$57,454",28.1%
"UNIVERSITY OF CALIFORNIA, DAVIS, SCHOOL OF LAW, KING HALL",1965,1968,PUBLIC,2014-2015,"$47,286","$47,286","$56,537","$56,537",N/A
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,1996-1997,"$11,172","$16,862","$19,564","$29,528",N/A
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,1997-1998,"$11,167","$16,469","$19,559","$28,846",N/A
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,1998-1999,"$11,167","$16,218","$19,937","$28,954",N/A
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,1999-2000,"$11,183","$15,893","$19,953","$28,357",N/A
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2000-2001,"$11,232","$15,441","$20,353","$27,981",N/A
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2001-2002,"$11,409","$15,254","$20,895","$27,936",26.1%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2002-2003,"$11,616","$15,288","$21,623","$28,458",25.2%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2003-2004,"$15,615","$20,095","$26,281","$33,821",25.6%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2004-2005,"$20,919","$26,219","$33,119","$41,510",27.5%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2005-2006,"$22,297","$27,029","$33,522","$40,636",26.5%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2006-2007,"$22,190","$26,058","$33,415","$39,240",26.2%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2007-2008,"$24,120","$27,539","$35,345","$40,356",26.2%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2008-2009,"$28,864","$31,737","$40,089","$44,080",25.2%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2009-2010,"$32,468","$35,828","$43,693","$48,214",23.2%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2010-2011,"$38,906","$42,239","$50,131","$54,426",21.7%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2011-2012,"$40,836","$42,978","$49,336","$51,923",22.2%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2012-2013,"$46,806","$48,262","$52,806","$54,449",19.6%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2013-2014,"$47,634","$48,407","$53,634","$54,504",22.8%
"UNIVERSITY OF CALIFORNIA, HASTINGS COLLEGE OF THE LAW",1878,1939,PUBLIC,2014-2015,"$48,335","$48,335","$54,335","$54,335",N/A
"UNIVERSITY OF CALIFORNIA, IRVINE SCHOOL OF LAW",2009,2011,PUBLIC,1996-1997,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF CALIFORNIA, IRVINE SCHOOL OF LAW",2009,2011,PUBLIC,1997-1998,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF CALIFORNIA, IRVINE SCHOOL OF LAW",2009,2011,PUBLIC,1998-1999,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF CALIFORNIA, IRVINE SCHOOL OF LAW",2009,2011,PUBLIC,1999-2000,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF CALIFORNIA, IRVINE SCHOOL OF LAW",2009,2011,PUBLIC,2000-2001,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF CALIFORNIA, IRVINE SCHOOL OF LAW",2009,2011,PUBLIC,2001-2002,N/A,N/A,N/A,N/A,N/A
"UNIVERSITY OF CALIFORNIA, IRVINE SCHOOL OF LAW",2009,2011,PUBLIC,2002-2003,N/A,N/A,N/A,N/A,N/A
